"Season","TeamID","Wins","Loses","WinsAtHome","WinsAtAway","WinsAtNeutral","LosesAtHome","LosesAtAway","LosesAtNeutral","WinPer","WinPerHome","WinPerAway","WinPerNeut","WinPerNotHome","CoachName","CoachYears","SumofWinPer","CoachWinPer"
1985,1228,23,8,14,4,5,7,0,1,0.741935483870968,0.666666666666667,1,0.833333333333333,0.9,"lou_henson",1,0.741935483870968,0.741935483870968
1985,1106,10,14,8,1,1,10,1,3,0.416666666666667,0.444444444444444,0.5,0.25,0.333333333333333,"james_oliver",1,0.416666666666667,0.416666666666667
1985,1112,18,9,11,7,0,5,3,1,0.666666666666667,0.6875,0.7,0,0.636363636363636,"lute_olson",1,0.666666666666667,0.666666666666667
1985,1165,12,12,7,5,0,7,3,2,0.5,0.5,0.625,0,0.5,"tom_miller",1,0.5,0.5
1985,1192,19,9,9,6,4,7,1,1,0.678571428571429,0.5625,0.857142857142857,0.8,0.833333333333333,"tom_green",1,0.678571428571429,0.678571428571429
1985,1218,10,18,9,1,0,8,10,0,0.357142857142857,0.529411764705882,0.0909090909090909,NA,0.0909090909090909,"larry_little",1,0.357142857142857,0.357142857142857
1985,1242,23,7,14,6,3,4,0,3,0.766666666666667,0.777777777777778,1,0.5,0.75,"larry_brown",1,0.766666666666667,0.766666666666667
1985,1260,25,5,13,10,2,5,0,0,0.833333333333333,0.722222222222222,1,1,1,"gene_sullivan",1,0.833333333333333,0.833333333333333
1985,1305,19,9,11,6,2,8,1,0,0.678571428571429,0.578947368421053,0.857142857142857,1,0.888888888888889,"sonny_allen",1,0.678571428571429,0.678571428571429
1985,1307,17,12,12,5,0,5,6,1,0.586206896551724,0.705882352941177,0.454545454545455,0,0.416666666666667,"gary_colson",1,0.586206896551724,0.586206896551724
1985,1344,10,19,6,2,2,9,9,1,0.344827586206897,0.4,0.181818181818182,0.666666666666667,0.285714285714286,"joseph_mullaney",1,0.344827586206897,0.344827586206897
1985,1374,22,8,15,4,3,6,1,1,0.733333333333333,0.714285714285714,0.8,0.75,0.777777777777778,"dave_bliss",1,0.733333333333333,0.733333333333333
1985,1412,22,8,12,5,5,3,3,2,0.733333333333333,0.8,0.625,0.714285714285714,0.666666666666667,"gene_bartow",1,0.733333333333333,0.733333333333333
1985,1417,15,12,11,4,0,8,3,1,0.555555555555556,0.578947368421053,0.571428571428571,0,0.5,"walt_hazzard",1,0.555555555555556,0.555555555555556
1985,1116,21,12,10,4,7,8,1,3,0.636363636363636,0.555555555555556,0.8,0.7,0.733333333333333,"eddie_sutton",1,0.636363636363636,0.636363636363636
1985,1120,18,11,8,5,5,6,4,1,0.620689655172414,0.571428571428571,0.555555555555556,0.833333333333333,0.666666666666667,"sonny_smith",1,0.620689655172414,0.620689655172414
1985,1135,8,18,4,3,1,13,4,1,0.307692307692308,0.235294117647059,0.428571428571429,0.5,0.444444444444444,"mike_cingiser",1,0.307692307692308,0.307692307692308
1985,1143,10,15,7,2,1,9,5,1,0.4,0.4375,0.285714285714286,0.5,0.333333333333333,"dick_kuchen",1,0.4,0.4
1985,1153,14,13,9,3,2,8,2,3,0.518518518518518,0.529411764705882,0.6,0.4,0.5,"tony_yates",1,0.518518518518518,0.518518518518518
1985,1171,5,20,4,1,0,11,8,1,0.2,0.266666666666667,0.111111111111111,0,0.1,"paul_cormier",1,0.2,0.2
1985,1173,19,9,15,4,0,7,2,0,0.678571428571429,0.681818181818182,0.666666666666667,NA,0.666666666666667,"don_donoher",1,0.678571428571429,0.678571428571429
1985,1177,18,9,13,4,1,8,1,0,0.666666666666667,0.619047619047619,0.8,1,0.833333333333333,"joey_meyer",1,0.666666666666667,0.666666666666667
1985,1193,10,17,3,6,1,7,7,3,0.37037037037037,0.3,0.461538461538462,0.25,0.411764705882353,"terry_o'connor",1,0.37037037037037,0.37037037037037
1985,1196,17,11,9,6,2,5,4,2,0.607142857142857,0.642857142857143,0.6,0.5,0.571428571428571,"norm_sloan",1,0.607142857142857,0.607142857142857
1985,1206,17,11,8,7,2,7,3,1,0.607142857142857,0.533333333333333,0.7,0.666666666666667,0.692307692307692,"joe_harrington",1,0.607142857142857,0.607142857142857
1985,1210,24,7,14,5,5,4,3,0,0.774193548387097,0.777777777777778,0.625,1,0.769230769230769,"bobby_cremins",1,0.774193548387097,0.774193548387097
1985,1211,12,13,8,3,1,10,3,0,0.48,0.444444444444444,0.5,1,0.571428571428571,"jay_hillock",1,0.48,0.48
1985,1234,20,10,15,3,2,6,3,1,0.666666666666667,0.714285714285714,0.5,0.666666666666667,0.555555555555556,"george_raveling",1,0.666666666666667,0.666666666666667
1985,1243,12,14,9,2,1,9,5,0,0.461538461538462,0.5,0.285714285714286,1,0.375,"jack_hartman",1,0.461538461538462,0.461538461538462
1985,1257,14,14,10,3,1,7,5,2,0.5,0.588235294117647,0.375,0.333333333333333,0.363636363636364,"denny_crum",1,0.5,0.5
1985,1277,19,9,9,10,0,4,4,1,0.678571428571429,0.692307692307692,0.714285714285714,0,0.666666666666667,"jud_heathcote",1,0.678571428571429,0.678571428571429
1985,1278,13,15,9,4,0,8,6,1,0.464285714285714,0.529411764705882,0.4,0,0.363636363636364,"jim_dutcher",1,0.464285714285714,0.464285714285714
1985,1286,9,16,7,2,0,12,3,1,0.36,0.368421052631579,0.4,0,0.333333333333333,"stu_starner",1,0.36,0.36
1985,1301,20,9,14,4,2,5,2,2,0.689655172413793,0.736842105263158,0.666666666666667,0.5,0.6,"jim_valvano",1,0.689655172413793,0.689655172413793
1985,1325,20,7,10,7,3,5,0,2,0.740740740740741,0.666666666666667,1,0.6,0.833333333333333,"danny_nee",1,0.740740740740741,0.740740740740741
1985,1326,19,9,12,4,3,6,2,1,0.678571428571429,0.666666666666667,0.666666666666667,0.75,0.7,"eldon_miller",1,0.678571428571429,0.678571428571429
1985,1328,25,5,14,6,5,3,0,2,0.833333333333333,0.823529411764706,1,0.714285714285714,0.846153846153846,"billy_tubbs",1,0.833333333333333,0.833333333333333
1985,1339,10,14,6,4,0,7,6,1,0.416666666666667,0.461538461538462,0.4,0,0.363636363636364,"jack_avina",1,0.416666666666667,0.416666666666667
1985,1365,16,8,8,7,1,4,3,1,0.666666666666667,0.666666666666667,0.7,0.5,0.666666666666667,"carroll_williams",1,0.666666666666667,0.666666666666667
1985,1375,14,13,9,4,1,7,5,1,0.518518518518518,0.5625,0.444444444444444,0.5,0.454545454545455,"mike_hanks",1,0.518518518518518,0.518518518518518
1985,1397,18,14,14,2,2,8,3,3,0.5625,0.636363636363636,0.4,0.4,0.4,"don_devoe",1,0.5625,0.5625
1985,1403,22,7,11,7,4,4,3,0,0.758620689655172,0.733333333333333,0.7,1,0.785714285714286,"gerald_myers",1,0.758620689655172,0.758620689655172
1985,1423,9,16,6,3,0,10,4,2,0.36,0.375,0.428571428571429,0,0.333333333333333,"mel_gibson",1,0.36,0.36
1985,1429,16,11,9,7,0,7,3,1,0.592592592592593,0.5625,0.7,0,0.636363636363636,"rod_tueller",1,0.592592592592593,0.592592592592593
1985,1437,19,10,7,7,5,7,2,1,0.655172413793103,0.5,0.777777777777778,0.833333333333333,0.8,"rollie_massimino",1,0.655172413793103,0.655172413793103
1985,1438,13,15,8,2,3,9,4,2,0.464285714285714,0.470588235294118,0.333333333333333,0.6,0.454545454545455,"terry_holland",1,0.464285714285714,0.464285714285714
1985,1439,19,8,11,6,2,4,2,2,0.703703703703704,0.733333333333333,0.75,0.5,0.666666666666667,"charles_moir",1,0.703703703703704,0.703703703703704
1985,1443,13,14,11,1,1,10,3,1,0.481481481481481,0.523809523809524,0.25,0.5,0.333333333333333,"clem_haskins",1,0.481481481481481,0.481481481481481
1985,1455,17,12,10,7,0,3,6,3,0.586206896551724,0.769230769230769,0.538461538461538,0,0.4375,"gene_smithson",1,0.586206896551724,0.586206896551724
1985,1241,12,14,8,3,1,7,4,3,0.461538461538462,0.533333333333333,0.428571428571429,0.25,0.363636363636364,"lou_campanelli",1,0.461538461538462,0.461538461538462
1985,1268,22,11,14,5,3,6,2,3,0.666666666666667,0.7,0.714285714285714,0.5,0.615384615384615,"lefty_driesell",1,0.666666666666667,0.666666666666667
1985,1314,23,8,7,5,11,3,2,3,0.741935483870968,0.7,0.714285714285714,0.785714285714286,0.761904761904762,"dean_smith",1,0.741935483870968,0.741935483870968
1985,1323,20,8,14,4,2,5,2,1,0.714285714285714,0.736842105263158,0.666666666666667,0.666666666666667,0.666666666666667,"digger_phelps",1,0.714285714285714,0.714285714285714
1985,1458,12,14,8,2,2,9,5,0,0.461538461538462,0.470588235294118,0.285714285714286,1,0.444444444444444,"steve_yoder",1,0.461538461538462,0.461538461538462
1985,1104,21,9,15,5,1,6,1,2,0.7,0.714285714285714,0.833333333333333,0.333333333333333,0.666666666666667,"wimp_sanderson",1,0.7,0.7
1985,1152,14,11,7,7,0,11,0,0,0.56,0.388888888888889,1,NA,1,"bob_hallberg",1,0.56,0.56
1985,1160,8,17,8,0,0,13,4,0,0.32,0.380952380952381,0,NA,0,"tom_apke",1,0.32,0.32
1985,1181,22,7,12,6,4,3,3,1,0.758620689655172,0.8,0.666666666666667,0.8,0.714285714285714,"mike_krzyzewski",1,0.758620689655172,0.758620689655172
1985,1186,8,15,7,1,0,10,5,0,0.347826086956522,0.411764705882353,0.166666666666667,NA,0.166666666666667,"jerry_krause",1,0.347826086956522,0.347826086956522
1985,1247,15,13,5,7,3,7,4,2,0.535714285714286,0.416666666666667,0.636363636363636,0.6,0.625,"lefty_ervin",1,0.535714285714286,0.535714285714286
1985,1249,19,11,11,6,2,9,2,0,0.633333333333333,0.55,0.75,1,0.8,"pat_foster",1,0.633333333333333,0.633333333333333
1985,1276,25,3,16,9,0,2,1,0,0.892857142857143,0.888888888888889,0.9,NA,0.9,"bill_frieder",1,0.892857142857143,0.892857142857143
1985,1338,15,11,11,4,0,5,4,2,0.576923076923077,0.6875,0.5,0,0.4,"roy_chipman",1,0.576923076923077,0.576923076923077
1985,1368,15,8,9,5,1,8,0,0,0.652173913043478,0.529411764705882,1,1,1,"newton_chelette",1,0.652173913043478,0.652173913043478
1985,1376,13,13,13,0,0,11,2,0,0.5,0.541666666666667,0,NA,0,"bill_e_foster",1,0.5,0.5
1985,1378,17,11,11,5,1,4,6,1,0.607142857142857,0.733333333333333,0.454545454545455,0.5,0.461538461538462,"lee_rose",1,0.607142857142857,0.607142857142857
1985,1391,10,14,6,3,1,6,4,4,0.416666666666667,0.5,0.428571428571429,0.2,0.333333333333333,"glenn_wilkes",1,0.416666666666667,0.416666666666667
1985,1396,24,5,8,10,6,3,0,2,0.827586206896552,0.727272727272727,1,0.75,0.888888888888889,"john_chaney",1,0.827586206896552,0.827586206896552
1985,1398,7,19,5,2,0,11,4,4,0.269230769230769,0.3125,0.333333333333333,0,0.2,"ed_meyers",1,0.269230769230769,0.269230769230769
1985,1399,15,8,10,5,0,7,1,0,0.652173913043478,0.588235294117647,0.833333333333333,NA,0.833333333333333,"tom_deaton",1,0.652173913043478,0.652173913043478
1985,1428,14,16,10,4,0,9,7,0,0.466666666666667,0.526315789473684,0.363636363636364,NA,0.363636363636364,"lynn_archibald",1,0.466666666666667,0.466666666666667
1985,1448,14,13,10,2,2,7,3,3,0.518518518518518,0.588235294117647,0.4,0.4,0.4,"carl_tacy",1,0.518518518518518,0.518518518518518
1985,1464,16,11,10,3,3,10,1,0,0.592592592592593,0.5,0.75,1,0.857142857142857,"mike_rice_sr",1,0.592592592592593,0.592592592592593
1985,1124,7,17,6,1,0,8,6,3,0.291666666666667,0.428571428571429,0.142857142857143,0,0.1,"jim_haller",1,0.291666666666667,0.291666666666667
1985,1130,16,10,5,7,4,5,2,3,0.615384615384615,0.5,0.777777777777778,0.571428571428571,0.6875,"gary_williams",1,0.615384615384615,0.615384615384615
1985,1200,19,11,8,8,3,6,1,4,0.633333333333333,0.571428571428571,0.888888888888889,0.428571428571429,0.6875,"thomas_penders",1,0.633333333333333,0.633333333333333
1985,1204,20,5,11,8,1,3,2,0,0.8,0.785714285714286,0.8,1,0.818181818181818,"frank_kerns",1,0.8,0.8
1985,1233,25,4,13,5,7,4,0,0,0.862068965517241,0.764705882352941,1,1,1,"pat_kennedy",1,0.862068965517241,0.862068965517241
