"Season","TeamID","Sum_Score","Sum_FGM","Sum_FGA","Sum_FGM3","Sum_FGA3","Sum_FTM","Sum_FTA","Sum_OR","Sum_DR","Sum_Ast","Sum_TO","Sum_Stl","Sum_Blk","Sum_PF","OffRtg","Opp_Sum_Score","Opp_Sum_FGM","Opp_Sum_FGA","Opp_Sum_FGM3","Opp_Sum_FGA3","Opp_Sum_FTM","Opp_Sum_FTA","Opp_Sum_OR","Opp_Sum_DR","Opp_Sum_Ast","Opp_Sum_TO","Opp_Sum_Stl","Opp_Sum_Blk","Opp_Sum_PF","DefRtg","NetRtg","ORper","DRper"
2003,1104,1940,673,1601,178,556,416,586,380,670,339,372,185,106,505,104.817272157507,1820,651,1554,178,536,340,480,305,634,327,388,155,89,539,98.4741911048588,6.34308105264806,0.374753451676529,0.687179487179487
2003,1272,2161,762,1740,203,582,434,664,408,753,482,400,214,147,544,106.760335151371,1909,675,1678,171,531,388,601,358,684,386,437,211,92,578,94.4376286211809,12.3227065301905,0.373626373626374,0.677767776777678
2003,1266,2195,762,1575,162,427,509,661,367,674,457,380,168,102,522,116.827404142982,1895,667,1643,188,574,373,536,355,520,363,350,181,69,581,101.129231951501,15.6981721914812,0.413754227733935,0.655004859086492
2003,1296,2158,755,1645,195,509,453,694,403,702,393,527,236,112,614,104.032087005149,2164,729,1657,210,621,496,703,347,623,412,448,274,95,609,104.676586111487,-0.644499106338756,0.392787524366472,0.669208770257388
2003,1400,2208,784,1748,164,470,476,666,453,732,406,376,179,108,570,112.421335614346,1923,682,1658,171,494,388,589,362,616,314,397,195,88,573,98.5062699778707,13.9150656364753,0.423760523854069,0.669104204753199
2003,1458,2051,726,1563,181,504,418,564,299,654,386,305,202,82,430,112.868432058817,1702,644,1496,147,433,267,366,238,629,324,405,135,77,550,93.3093572509375,19.5590748078796,0.322198275862069,0.733183856502242
2003,1161,2220,792,1563,126,347,510,728,324,704,465,484,160,127,617,108.646712213457,2180,775,1724,169,490,461,670,360,572,397,367,271,92,639,107.611807680916,1.03490453254035,0.361607142857143,0.661654135338346
2003,1186,2029,693,1485,136,387,507,691,272,663,429,494,223,79,623,100.893070252208,1922,662,1537,151,454,447,659,309,622,316,492,242,72,624,95.6237935083285,5.2692767438793,0.304250559284116,0.682098765432099
2003,1194,1865,679,1729,175,522,332,497,388,582,330,449,245,94,630,92.8470438297788,2091,680,1494,163,471,568,777,338,739,403,501,221,138,473,104.608580805251,-11.7615369754722,0.344276841171251,0.632608695652174
2003,1166,2615,947,1896,263,676,458,661,359,765,555,441,277,147,570,115.257135805081,2123,788,1826,161,472,386,551,365,705,408,563,209,85,640,93.6711318190643,21.5860039860167,0.337406015037594,0.676991150442478
2003,1202,1807,654,1568,157,479,342,495,355,641,356,415,194,81,489,97.897930436667,1924,711,1563,179,496,323,472,288,647,385,373,218,99,497,103.68166925332,-5.78373881665252,0.354291417165669,0.689989235737352
2003,1237,2280,782,1726,208,595,508,724,374,669,428,509,262,58,619,104.608269558994,2253,819,1718,212,591,403,594,338,691,515,539,216,121,643,103.331559925884,1.27670963310976,0.351173708920188,0.664349553128103
2003,1323,2483,844,1881,257,675,538,708,353,833,524,396,231,175,503,111.070354995706,2207,830,2008,193,527,354,519,424,769,472,405,203,140,603,99.5327777176462,11.5375772780595,0.314616755793226,0.662688941925219
