"","Season","TeamID","avg","sd"
"1",2014,1101,1.2,0.414039335605413
"2",2015,1101,1.64285714285714,0.744946343668492
"3",2016,1101,1.72727272727273,0.786245393106896
"4",2017,1101,1.69230769230769,0.751067616198811
"5",2010,1102,1,0
"6",2011,1102,1.70588235294118,0.469668218313862
"7",2012,1102,2.05882352941176,0.966345450349804
"8",2013,1102,2.46666666666667,1.24594580635795
"9",2014,1102,2,1.03279555898864
"10",2015,1102,2.05555555555556,1.34917064817928
"11",2016,1102,1.84210526315789,0.834210065120613
"12",2017,1102,2.05263157894737,1.12909423927748
"13",2010,1103,1,0
"14",2011,1103,1.57142857142857,0.513552591013095
"15",2012,1103,1.875,0.806225774829855
"16",2013,1103,1.875,0.957427107756338
"17",2014,1103,2,1
"18",2015,1103,2.4,1.24211800681624
"19",2016,1103,2.4,1.40407570003493
"20",2017,1103,2.5,1.4142135623731
"21",2010,1104,1,0
"22",2011,1104,1.66666666666667,0.487950036474267
"23",2012,1104,1.93333333333333,0.961150104723255
"24",2013,1104,1.875,1.02469507659596
"25",2014,1104,2.45454545454545,1.29333958136573
"26",2015,1104,2,1.20604537831105
"27",2016,1104,1.83333333333333,1.02985730108887
"28",2017,1104,1.8,1.08232553856433
"29",2010,1105,1,0
"30",2011,1105,1.5,0.514495755427527
"31",2012,1105,2,1.18817705157201
"32",2013,1105,1.875,1.02469507659596
"33",2014,1105,2.625,1.25830573921179
"34",2015,1105,1.75,0.930949336251263
"35",2016,1105,2,1.15470053837925
"36",2017,1105,1.875,1.25830573921179
"37",2010,1106,1.31578947368421,0.945905302926917
"38",2011,1106,1.75,0.896854406292881
"39",2012,1106,1.78571428571429,0.974961255922229
"40",2013,1106,1.64705882352941,0.996316746232607
"41",2014,1106,1.47058823529412,0.717430053979439
"42",2015,1106,1.78947368421053,0.854981960070962
"43",2016,1106,1.875,1.08781125813871
"44",2017,1106,1.86666666666667,1.06009882737862
"45",2010,1107,1,0
"46",2011,1107,1.61538461538462,0.506369683541833
"47",2012,1107,1.84615384615385,0.898717034272917
"48",2013,1107,2.30769230769231,1.18213192894698
"49",2014,1107,2.0625,1.23659478676997
"50",2015,1107,1.73333333333333,1.09978352848359
"51",2016,1107,2.09090909090909,1.22102788293679
"52",2017,1107,1.92307692307692,1.11516355015296
"53",2010,1108,1.45454545454545,0.857864054457777
"54",2011,1108,1.53333333333333,0.516397779494322
"55",2012,1108,1.45,0.68633274115326
"56",2013,1108,1.6875,1.07819293264239
"57",2014,1108,1.82352941176471,1.01459931239178
"58",2015,1108,1.85714285714286,1.1084094137869
"59",2016,1108,1.8,1.05630936457281
"60",2017,1108,1.71428571428571,0.994490316197694
"61",2010,1110,1,0
"62",2011,1110,1.77777777777778,0.548318880553316
"63",2012,1110,2.5625,0.727438428093173
"64",2013,1110,2.71428571428571,1.2666473875533
"65",2014,1110,2.06666666666667,1.33452327853522
"66",2015,1110,2.13333333333333,1.24594580635795
"67",2016,1110,2,1.15470053837925
"68",2017,1110,2.14285714285714,1.02710518202619
"69",2010,1111,1,0
"70",2011,1111,1.6,0.50709255283711
"71",2012,1111,1.76923076923077,0.832050294337844
"72",2013,1111,1.53846153846154,0.877058019307029
"73",2014,1111,1.84615384615385,0.688737231721194
"74",2015,1111,2,1.0690449676497
"75",2016,1111,1.94736842105263,1.12909423927748
