"","Season","teamID","mean_pts_against","sd_pts_against"
"1",2014,1101,78.6190476190476,11.5172748099374
"2",2015,1101,71.8571428571429,10.8686238377719
"3",2016,1101,76.2592592592593,11.2714499531154
"4",2017,1101,72.64,10.3878133727299
"5",1985,1102,68.875,10.118053172424
"6",1986,1102,65.68,8.61548992609629
"7",1987,1102,75.0869565217391,12.4969561511385
"8",1988,1102,73.5416666666667,9.06967794196765
"9",1989,1102,68.9166666666667,11.4319029823167
"10",1990,1102,69.2857142857143,10.6487945513483
"11",1991,1102,66.36,12.8318613874475
"12",1992,1102,69.56,9.07413907762053
"13",1993,1102,71.7083333333333,13.6205700150997
"14",1994,1102,75.8636363636364,9.71643406343556
"15",1995,1102,74.375,11.266774933019
"16",1996,1102,75.9166666666667,10.2783718329428
"17",1997,1102,73.0454545454545,7.97303355500678
"18",1998,1102,70.8571428571429,13.4323702833331
"19",1999,1102,81.3478260869565,14.0990286436922
"20",2000,1102,74.1538461538462,11.7599058081
"21",2001,1102,63.0344827586207,10.6351262959144
"22",2002,1102,61.5,9.93870101058372
"23",2003,1102,57,12.2323190617981
"24",2004,1102,50.4285714285714,10.1632182546182
"25",2005,1102,55.1379310344828,10.4598693584133
"26",2006,1102,54.5714285714286,9.13044792795399
"27",2007,1102,56.9,10.7522251105335
"28",2008,1102,57.3214285714286,10.8697799610717
"29",2009,1102,62.3103448275862,11.2316626687868
"30",2010,1102,62.9655172413793,10.8413321487085
"31",2011,1102,64.7857142857143,9.84455910213067
"32",2012,1102,63.2592592592593,12.2273105181443
"33",2013,1102,68.4285714285714,13.7905726559811
"34",2014,1102,70.3571428571429,10.5837551471996
"35",2015,1102,65.8620689655172,12.9964944117663
"36",2016,1102,73.6,13.8728213573805
"37",2017,1102,75.6129032258064,10.2945856946094
"38",1985,1103,64.0869565217391,8.7433769400733
"39",1986,1103,68.76,11.7837458673661
"40",1987,1103,69.1153846153846,11.2688133291023
"41",1988,1103,69.36,11.3095829572388
"42",1989,1103,70.3571428571429,12.0959567340566
"43",1990,1103,71.4615384615385,12.7066306131272
"44",1991,1103,67.3703703703704,11.8000917471927
"45",1992,1103,70.1851851851852,11.8095041159393
"46",1993,1103,67.25,11.010864200179
"47",1994,1103,67.28,12.5781556676645
"48",1995,1103,68.44,11.4020465999165
"49",1996,1103,75.64,11.682893477217
"50",1997,1103,72.6,13.3759734848222
"51",1998,1103,68.3846153846154,15.1051697721725
"52",1999,1103,70.9230769230769,13.8504096023853
"53",2000,1103,72.7407407407407,10.2416667535972
"54",2001,1103,72.6428571428571,12.1570412022684
"55",2002,1103,74.4666666666667,10.903126199377
"56",2003,1103,78.1481481481482,12.7903319969652
"57",2004,1103,72.1428571428571,10.4729432196751
"58",2005,1103,66.25,9.9986110146471
"59",2006,1103,66.1333333333333,13.6728609455659
"60",2007,1103,61.84375,11.7860206286119
"61",2008,1103,63.7878787878788,10.7609176413933
"62",2009,1103,60.5,12.6879804730638
"63",2010,1103,66.4545454545455,11.8666836908288
"64",2011,1103,66.3235294117647,11.4619808649113
"65",2012,1103,65.625,9.79054843763501
"66",2013,1103,62.258064516129,10.6582291898029
"67",2014,1103,66.030303030303,11.6685604523567
"68",2015,1103,63.2352941176471,11.2143274796113
"69",2016,1103,69.0606060606061,10.7148827394989
"70",2017,1103,71.1818181818182,11.326005875458
"71",1985,1104,60.7,12.1119775429118
"72",1986,1104,67.3,10.0589640928224
"73",1987,1104,68.2333333333333,9.71200229127584
"74",1988,1104,68.1666666666667,12.1345426958242
"75",1989,1104,69.3666666666667,11.7956255285252
"76",1990,1104,61.90625,14.1497962483906
"77",1991,1104,71.1666666666667,13.5088306580224
"78",1992,1104,72.1212121212121,11.7706137684
"79",1993,1104,74.2857142857143,8.69166114991683
"80",1994,1104,68.9642857142857,11.5869727067917
"81",1995,1104,63.3548387096774,11.5860501958081
"82",1996,1104,71.4444444444444,12.087289361249
"83",1997,1104,65.4,11.6518460872679
"84",1998,1104,68.3666666666667,9.61494287225783
"85",1999,1104,67.7741935483871,15.1629145778318
"86",2000,1104,72.3793103448276,10.5472196509095
"87",2001,1104,68.2258064516129,12.0932754797018
"88",2002,1104,66.2121212121212,11.2798425735845
"89",2003,1104,65,8.64527273952307
"90",2004,1104,67.448275862069,12.6111804332974
"91",2005,1104,64.8333333333333,12.6547887442233
"92",2006,1104,67.1379310344828,9.23395959771412
"93",2007,1104,68.8387096774194,13.5033249589217
"94",2008,1104,72.8484848484848,10.3293308475223
"95",2009,1104,71.3333333333333,12.5405090732431
"96",2010,1104,64.78125,10.9625002298893
"97",2011,1104,59.25,12.1043847027537
"98",2012,1104,58.125,8.88184084377746
"99",2013,1104,59.3125,13.2066393371154
"100",2014,1104,67.258064516129,9.75010339068424
"101",2015,1104,64.5161290322581,13.7982389401497
"102",2016,1104,67.8125,10.9998167140155
"103",2017,1104,64.5151515151515,11.1946449589782
"104",2000,1105,73.24,13.0998727729191
"105",2001,1105,74.3703703703704,13.3305552661434
"106",2002,1105,75.64,12.6256352975471
"107",2003,1105,76.6538461538462,14.0055483511137
"108",2004,1105,73.3793103448276,13.2676130728269
"109",2005,1105,67.7931034482759,14.228691613238
"110",2006,1105,72.6521739130435,8.870834211321
"111",2007,1105,69.5769230769231,11.4653323612465
"112",2008,1105,67.5769230769231,11.1397417453838
"113",2009,1105,72.0833333333333,10.021354011903
"114",2010,1105,70.304347826087,12.3525293052538
"115",2011,1105,66.24,11.1028524863358
"116",2012,1105,69.6538461538462,10.84414056601
"117",2013,1105,70.1724137931034,13.5279313314481
"118",2014,1105,67.1071428571429,8.85830552191426
"119",2015,1105,68.7142857142857,9.68334631040302
"120",2016,1105,69.75,9.17171578115951
"121",2017,1105,77.7586206896552,12.2493590864811
"122",1985,1106,75.4166666666667,14.3917750262362
"123",1986,1106,84.0833333333333,15.1712447303004
"124",1987,1106,82.64,13.9040761409499
"125",1988,1106,93.76,13.3612624154057
"126",1989,1106,89.5,13.6447792213725
"127",1990,1106,94.84,16.0874692436898
"128",1991,1106,88.3461538461538,14.3385977213738
"129",1992,1106,84,11.2055886677722
"130",1993,1106,83.6086956521739,11.3327326819054
"131",1994,1106,81.28,11.798728745081
"132",1995,1106,89.0909090909091,13.6518238478342
"133",1996,1106,82.6666666666667,13.7165931461217
"134",1997,1106,77.2142857142857,13.9000590002935
"135",1998,1106,74.625,12.9440686433392
"136",1999,1106,70.695652173913,9.0625843324412
"137",2000,1106,69.4166666666667,13.1642356955987
"138",2001,1106,64.037037037037,13.2591955942383
"139",2002,1106,64.3793103448276,10.2935964598782
"140",2003,1106,63.75,12.636293994915
"141",2004,1106,60.6,8.79498289582936
"142",2005,1106,61.3,11.8063396178669
